Week,Date,CLASS 1,Day Done?
1,31-Aug,,0
,1-Sep,,0
,2-Sep,,0
,3-Sep,,0
,4-Sep,,0
2,7-Sep,,0
,8-Sep,,0
,9-Sep,,0
,10-Sep,,0
,11-Sep,,0
3,14-Sep,,0
,15-Sep,,0
,16-Sep,,0
,17-Sep,,0
,18-Sep,,0
4,21-Sep,,0
,22-Sep,,0
,23-Sep,,0
,24-Sep,,0
,25-Sep,,0
5,28-Sep,,0
,29-Sep,,0
,30-Sep,,0
,1-Oct,,0
,2-Oct,,0
6,5-Oct,,0
,6-Oct,,0
,7-Oct,,0
,8-Oct,,0
,9-Oct,,0
7,12-Oct,,0
,13-Oct,,0
,14-Oct,,0
,15-Oct,,0
,16-Oct,,0
8,19-Oct,,0
,20-Oct,,0
,21-Oct,,0
,22-Oct,,0
,23-Oct,,0
9,26-Oct,,0
,27-Oct,,0
,28-Oct,,0
,29-Oct,,0
,30-Oct,,0
10,2-Nov,,0
,3-Nov,,0
,4-Nov,,0
,5-Nov,,0
,6-Nov,,0
11,9-Nov,,0
,10-Nov,,0
,11-Nov,,0
,12-Nov,,0
,13-Nov,,0
12,16-Nov,,0
,17-Nov,,0
,18-Nov,,0
,19-Nov,,0
,20-Nov,,0
13,23-Nov,,0
,24-Nov,,0
,25-Nov,,0
,26-Nov,,0
,27-Nov,,0
14,30-Nov,,0
,1-Dec,,0
,2-Dec,,0
,3-Dec,,0
,4-Dec,,0
FINALS,7-Dec,,
,8-Dec,,
,9-Dec,,
,10-Dec,,
,11-Dec,,
,12-Dec,,
,13-Dec,,
,14-Dec,,
,15-Dec,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
, ,,
